dataset,detector,feat_A,feat_B,coef,p_value,p_value_fdr,sig
sms_spam,LUNAR,head_entropy,diag_mean,-0.0168,0.4096,0.7194,
email_spam,LOF,cls_token_pca,cls_mean,0.0107,0.5725,0.7958,
email_spam,LOF,cls_token_pca,cls_max,0.033,0.1615,0.5237,
email_spam,LOF,cls_token_pca,cls_std,0.0056,0.8135,0.9095,
email_spam,LOF,cls_token_pca,head_entropy,-0.033,0.1531,0.5095,
email_spam,LOF,cls_token_pca,diag_mean,-0.0376,0.1108,0.4288,
email_spam,LOF,cls_mean,cls_max,0.0013,0.9487,0.9687,
email_spam,LOF,cls_mean,cls_std,-0.002,0.922,0.962,
email_spam,LOF,cls_mean,head_entropy,0.0034,0.8638,0.9277,
email_spam,LOF,cls_mean,diag_mean,0.0009,0.9658,0.9794,
email_spam,LOF,cls_max,cls_std,-0.0192,0.4325,0.7338,
email_spam,LOF,cls_max,head_entropy,-0.042,0.0798,0.3591,
email_spam,LOF,cls_max,diag_mean,-0.0261,0.2855,0.6479,
email_spam,LOF,cls_std,head_entropy,-0.037,0.1232,0.4481,
email_spam,LOF,cls_std,diag_mean,-0.026,0.2879,0.6479,
email_spam,LOF,head_entropy,diag_mean,-0.0404,0.0911,0.3851,
email_spam,DeepSVDD,cls_token_pca,cls_mean,0.0126,0.4634,0.7469,
email_spam,DeepSVDD,cls_token_pca,cls_max,-0.0271,0.1105,0.4288,
email_spam,DeepSVDD,cls_token_pca,cls_std,-0.0209,0.2219,0.5788,
email_spam,DeepSVDD,cls_token_pca,head_entropy,-0.0359,0.0344,0.2075,
email_spam,DeepSVDD,cls_token_pca,diag_mean,0.0259,0.135,0.4674,
email_spam,DeepSVDD,cls_mean,cls_max,-0.0065,0.7062,0.8707,
email_spam,DeepSVDD,cls_mean,cls_std,-0.0085,0.6205,0.8154,
email_spam,DeepSVDD,cls_mean,head_entropy,-0.0029,0.8658,0.9277,
email_spam,DeepSVDD,cls_mean,diag_mean,-0.0059,0.7329,0.8854,
email_spam,DeepSVDD,cls_max,cls_std,-0.0145,0.4024,0.7194,
email_spam,DeepSVDD,cls_max,head_entropy,-0.021,0.2161,0.5763,
email_spam,DeepSVDD,cls_max,diag_mean,-0.0119,0.4923,0.771,
email_spam,DeepSVDD,cls_std,head_entropy,-0.0139,0.4146,0.7224,
email_spam,DeepSVDD,cls_std,diag_mean,-0.0118,0.4986,0.7726,
email_spam,DeepSVDD,head_entropy,diag_mean,-0.0165,0.3354,0.69,
email_spam,ECOD,cls_token_pca,cls_mean,0.0049,0.2556,0.6212,
email_spam,ECOD,cls_token_pca,cls_max,-0.0216,0.0,0.0,interference
email_spam,ECOD,cls_token_pca,cls_std,-0.0225,0.0,0.0,interference
email_spam,ECOD,cls_token_pca,head_entropy,-0.0339,0.0,0.0,interference
email_spam,ECOD,cls_token_pca,diag_mean,-0.0128,0.0055,0.0472,interference
email_spam,ECOD,cls_mean,cls_max,0.0011,0.7986,0.9069,
email_spam,ECOD,cls_mean,cls_std,0.0047,0.2747,0.6463,
email_spam,ECOD,cls_mean,head_entropy,0.0015,0.7178,0.876,
email_spam,ECOD,cls_mean,diag_mean,0.0078,0.0586,0.2963,
email_spam,ECOD,cls_max,cls_std,-0.0055,0.2348,0.5911,
